psi_ss,k_0_0,k_0_1,k_0_2,k_0_3,k_0_4,k_0_5,k_0_6,k_0_7,k_0_8,k_0_9,k_0_10,k_0_11,k_1_0,k_1_1,k_1_2,k_1_3,k_1_4,k_1_5,k_1_6,k_1_7,k_1_8,k_1_9,k_1_10,k_1_11,k_2_0,k_2_1,k_2_2,k_2_3,k_2_4,k_2_5,k_2_6,k_2_7,k_2_8,k_2_9,k_2_10,k_2_11,k_3_0,k_3_1,k_3_2,k_3_3,k_3_4,k_3_5,k_3_6,k_3_7,k_3_8,k_3_9,k_3_10,k_3_11
-3.141592653589793,1.0053250907078583e-14,-9.642722444540574e-15,14.14213562373095,-2.242419667167593e-14,-3.097433138596615e-14,-1.0065238197797425e-14,7.709602769249157e-15,-9.599423081065249e-15,6.18243050445513,-3.81702224138102e-15,8.549465838562245e-16,-5.582121629647575e-15,-9.999999999999996,1.3481502747032158e-14,7.19066016386981e-15,39.80183367652246,2.2250640082723686e-14,-2.668153581706101e-16,-9.536095279301291,7.004139752359118e-15,-3.81702224138102e-15,9.464001563136108,5.2312722349836066e-15,1.7569741275351555e-15,2.74596701204753e-16,10.000000000000016,2.3826445348838477e-14,-3.901465656987419e-16,39.80183367652242,4.084147075309337e-15,-1.2249678401146746e-15,9.536095279301286,8.549465838562245e-16,5.2312722349836066e-15,9.464001563136112,-7.200908476465434e-15,-2.266319098006341e-15,-1.5132292358747956e-14,-1.3626377707166573e-14,1.1958585386005418e-14,-4.910848899459193e-14,7.071067811865478,-1.9464633698567916e-15,-1.2665005451756682e-14,-5.582121629647575e-15,1.7569741275351555e-15,-7.200908476465434e-15,4.90866707160341
-3.1328538701305724,1.2095068941713442e-14,-2.3545184693247746e-14,14.142135623730994,-2.4792598261549806e-14,-6.590854952271915e-14,-4.586704171453786e-15,7.974830919492364e-15,-1.1685994559644568e-14,6.182430504455153,-1.938023187646069e-15,-1.2086319102578736e-14,2.760242274610239e-15,-9.999618170748105,-0.08738672234832306,-2.3259847599734185e-14,39.801833676522364,2.351665832862897e-14,-2.8052171652383456e-15,-9.53573116328865,-0.08333281104594309,-1.938023187646069e-15,9.464001563136055,3.2591027013383474e-16,2.8134707630755882e-15,-0.08738672234833125,9.999618170748215,3.4675149760590104e-15,-3.313216697067553e-16,39.80183367652235,6.975052902886125e-17,-0.08333281104594825,9.535731163288705,-1.2086319102578736e-14,3.2591027013383474e-16,9.464001563136078,-1.2096325191568274e-15,-8.881922295359403e-15,-1.5317205305893993e-14,2.2492019757343616e-15,2.6471761164882536e-14,-1.435467882246319e-14,7.071067811865486,-5.740659682499625e-15,-8.794793572763136e-15,2.760242274610239e-15,2.8134707630755882e-15,-1.2096325191568274e-15,4.908667071603403
-3.124115086671352,1.2403165611623358e-14,1.2563380039130553e-14,14.14213562373095,-3.5161203422605767e-15,1.3738563235147229e-14,5.988354358467981e-15,4.421335050419572e-15,6.950937308811346e-15,6.182430504455133,1.2544151467996014e-15,-4.474524493390253e-15,4.870375413025736e-16,-9.998472712151475,-0.1747667713352741,2.3769680542884808e-14,39.801833676522435,3.0106696519785763e-14,3.5323529249041465e-15,-9.534638843057014,-0.16665925831090322,1.2544151467996014e-15,9.464001563136097,6.548246836235313e-15,3.759142525913261e-15,-0.1747667713352829,9.998472712151438,-2.4254591900983748e-14,2.8980645661682584e-15,39.80183367652242,3.5447021047665968e-15,-0.16665925831091688,9.534638843056984,-4.474524493390253e-15,6.548246836235313e-15,9.464001563136094,1.1579187341072997e-15,-1.2712200112511115e-14,7.19009097971287e-15,-7.018424432483173e-15,2.6674842997789054e-14,2.2462973202150035e-14,7.07106781186549,-9.965022466002325e-15,5.834174252048463e-15,4.870375413025736e-16,3.759142525913261e-15,1.1579187341072997e-15,4.908667071603412
-3.1153763032121313,1.926277311049489e-14,1.2012973330225842e-16,14.142135623730955,-4.012308122019952e-14,5.5472239858375055e-15,1.7494975472103439e-15,1.1725710401329583e-14,-4.84532829813609e-15,6.18243050445514,-2.8741431422759186e-15,2.768977033731683e-15,-6.359832771069798e-16,-9.996563711683677,-0.2621334741091451,2.4437870849211068e-14,39.80183367652234,-2.9870376944197246e-14,3.2361737004475705e-15,-9.532818402022134,-0.24997297849990907,-2.8741431422759186e-15,9.46400156313607,6.170416963117872e-15,3.602470892132681e-15,-0.2621334741091661,9.99656371168371,-1.0583010298314253e-14,2.0517020991183915e-14,39.80183367652242,2.4653920011561073e-15,-0.2499729784999149,9.532818402022137,2.768977033731683e-15,6.170416963117872e-15,9.4640015631361,2.1392368184545495e-15,-7.232696222689541e-15,2.3781833609530135e-15,-5.056028174699173e-15,1.7424861712810573e-14,-3.3576051929275273e-16,7.071067811865463,-5.48853499889626e-15,2.3659096139491046e-15,-6.359832771069798e-16,3.602470892132681e-15,2.1392368184545495e-15,4.9086670716034
-3.106637519752911,9.719533968568521e-15,4.67263551209493e-15,14.14213562373094,-2.2448736822435212e-14,2.8060976137204012e-14,1.43969012032834e-15,6.23027861652978e-15,5.2877704450917006e-15,6.182430504455139,-5.675606091234392e-15,1.2163563526305697e-14,-9.607267486601307e-16,-9.993891315127446,-0.34948015883734,1.5561499369682122e-14,39.80183367652252,-6.328070547581708e-15,3.3415048137442836e-15,-9.530269979203696,-0.33326760928982235,-5.675606091234392e-15,9.46400156313611,1.9055361281141283e-15,-7.408344287547018e-17,-0.34948015883734684,9.993891315127449,2.2379411533277394e-14,3.5771262216290295e-14,39.80183367652251,6.619313641940226e-15,-0.3332676092898246,9.530269979203672,1.2163563526305697e-14,1.9055361281141283e-15,9.464001563136119,4.628308014010482e-15,2.530481623768841e-15,-4.505706244742244e-16,-6.231671751163184e-15,-4.3058302391789646e-15,1.8577104903052417e-14,7.0710678118654755,1.775247231989622e-15,5.254878746085876e-15,-9.607267486601307e-16,-7.408344287547018e-17,4.628308014010482e-15,4.908667071603412
-3.0978987362936903,-1.3314106874248787e-15,-1.1231558022362784e-14,14.142135623730944,1.5179743152768844e-14,-1.023646013826703e-14,-1.2924555881268429e-14,-4.020679480555548e-15,-4.557853973450146e-15,6.182430504455127,5.372072191438547e-15,1.2183502598269307e-15,-7.080896971381339e-15,-9.990455726562411,-0.4368001552160238,2.123370176977413e-14,39.80183367652244,-4.055926133326953e-14,-4.2007695118112096e-15,-9.526993769214013,-0.41653678981535963,5.372072191438547e-15,9.464001563136097,-4.453318791181728e-15,3.257657360865508e-15,-0.4368001552160092,9.990455726562391,3.1946611492471836e-15,-3.4022424758986606e-14,39.80183367652234,1.8054989462141477e-14,-0.41653678981534337,9.526993769213995,1.2183502598269307e-15,-4.453318791181728e-15,9.464001563136081,7.909037285442884e-15,-2.693605313318112e-16,2.9331430209033807e-16,-1.5306806539644376e-14,2.0364635486755678e-14,2.1565234388829082e-14,7.071067811865479,-3.626675935896888e-15,2.7959074619676228e-15,-7.080896971381339e-15,3.257657360865508e-15,7.909037285442884e-15,4.908667071603407
-3.0891599528344695,1.4829993453016615e-14,1.5249548375365815e-14,14.142135623730944,-2.4290361135551583e-14,1.0185213530683549e-14,-4.271869087192359e-16,8.1572765389521e-15,1.0511071851813199e-14,6.182430504455128,-3.669203830530561e-15,4.237393329827631e-15,1.5062082857510386e-15,-9.986257208350315,-0.5240867949793685,-3.108437528622723e-15,39.80183367652248,8.211891517395744e-14,6.382003927611698e-15,-9.522990022243784,-0.49977416115470197,-3.669203830530561e-15,9.464001563136094,6.798303497165664e-15,3.534199578464367e-15,-0.5240867949794091,9.986257208350207,3.152704763749163e-14,3.3815642520642786e-14,39.801833676522264,2.006718827791569e-15,-0.499774161154731,9.522990022243714,4.237393329827631e-15,6.798303497165664e-15,9.464001563136042,8.909808235994011e-15,-7.612575283590474e-15,2.3451492529617054e-14,2.8377348856141124e-15,1.2113901487858515e-14,5.559575026425151e-14,7.071067811865487,-5.389793838644245e-15,1.526369028308797e-14,1.5062082857510386e-15,3.534199578464367e-15,8.909808235994011e-15,4.908667071603409
-3.0804211693752492,1.062543605433174e-14,7.697052200069745e-15,14.142135623730944,-1.7921683288433312e-14,-2.0637817002090098e-15,-3.386542757461002e-15,3.7135909878405535e-15,3.569889594198662e-15,6.182430504455125,-1.4776613386063007e-15,-3.970042941508567e-15,-2.135501040221209e-15,-9.981296081114508,-0.6113334124090324,1.0641713694020728e-14,39.80183367652239,3.115064051305238e-15,5.420701814911926e-15,-9.518259044042454,-0.5829733668152919,-1.4776613386063007e-15,9.464001563136083,-1.5823465563327957e-15,3.613230373683118e-15,-0.6113334124090204,9.981296081114541,-2.318641687855341e-14,-1.8102172187680044e-14,39.801833676522364,-9.365510054966278e-15,-0.5829733668152761,9.51825904404247,-3.970042941508567e-15,-1.5823465563327957e-15,9.464001563136078,4.938364632072233e-16,-2.264061755289129e-15,1.1591555861742263e-14,-2.0748430059240116e-15,6.08624894832543e-15,1.6388618968963813e-14,7.071067811865468,-1.9930568087720105e-15,8.30762991408768e-15,-2.135501040221209e-15,3.613230373683118e-15,4.938364632072233e-16,4.908667071603403
-3.0716823859160285,1.331748765487235e-14,1.1513150334557135e-14,14.142135623730944,-3.2679917531456496e-14,1.9954198749246757e-14,-3.21226504040688e-15,1.0126546074196772e-14,7.494341122947498e-15,6.18243050445513,-6.278746679453712e-15,-3.7583309922723883e-16,-2.9784978491761205e-15,-9.975572723715814,-0.6985333448427813,6.302403067564681e-16,39.801833676522385,-1.3415660913546628e-14,-6.24621495387283e-15,-9.512801195895289,-0.6661280532189682,-6.278746679453712e-15,9.46400156313609,-5.126341756919029e-16,-3.1493954705706386e-15,-0.6985333448427644,9.975572723715793,-9.479970420546799e-15,1.5180036037517424e-14,39.80183367652232,5.824933998409797e-17,-0.6661280532189551,9.51280119589528,-3.7583309922723883e-16,-5.126341756919029e-16,9.46400156313608,1.2224373153353328e-15,1.18861624963329e-15,-1.1345395869168068e-14,-1.3089563155303442e-14,-3.691893295975446e-16,-1.0937968627315274e-15,7.07106781186547,2.8188856532433527e-16,-3.9092401771427935e-15,-2.9784978491761205e-15,-3.1493954705706386e-15,1.2224373153353328e-15,4.908667071603404
-3.062943602456808,1.1349651787167262e-14,-1.3668113858771615e-14,14.142135623730944,-1.5110061034212926e-14,-1.4907563054133207e-14,8.437482287666471e-16,6.181707540048364e-15,-4.255627780119454e-15,6.182430504455136,2.054285613189405e-17,-4.550995072745063e-15,1.7443157800148178e-15,-9.969087573223153,-0.7856799331835893,1.5743975120692707e-14,39.801833676522406,-4.2291755610057186e-15,4.927142539820145e-15,-9.506616894595442,-0.7492318701873857,2.054285613189405e-17,9.464001563136094,2.963598867189691e-16,-6.761708100737011e-16,-0.7856799331835944,9.969087573223074,-9.962619527440133e-15,-5.16906984201974e-15,39.80183367652224,5.1048636389255904e-15,-0.749231870187381,9.5066168945954,-4.550995072745063e-15,2.963598867189691e-16,9.464001563136051,4.68876279678245e-16,2.8514756455951103e-15,1.1803049507883154e-14,1.1569875077073561e-14,-4.7341025646821866e-15,1.1107896057296756e-14,7.071067811865486,1.2912536553229955e-15,7.216296037008001e-15,1.7443157800148178e-15,-6.761708100737011e-16,4.68876279678245e-16,4.908667071603415
